Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Carlos Lee,HOU,47,157,605,67,149,29,1,24,89,3,3,37,59,0,4,3,.246,.291,.417,.708
Mark Teixeira,NYY,43,158,601,113,154,36,0,33,108,0,1,93,122,0,5,13,.256,.365,.481,.846
Billy Butler,KC,37,158,595,77,189,45,0,15,78,0,0,69,78,0,9,5,.318,.388,.469,.857
Garrett Jones,PIT,42,158,592,64,146,34,1,21,86,7,3,53,123,0,8,1,.247,.306,.414,.720
Adrian Gonzalez,SD,41,160,591,87,176,33,0,31,101,0,0,93,114,2,4,2,.298,.393,.511,.904
James Loney,LAD,39,161,588,67,157,41,2,10,88,10,5,52,95,0,4,4,.267,.329,.395,.724
Albert Pujols,STL,43,159,587,115,183,39,1,42,118,14,4,103,76,0,6,4,.312,.414,.596,1.010
Gaby Sanchez,FLA,40,151,572,72,156,37,3,19,85,5,0,57,101,3,6,5,.273,.341,.448,.789
Aubrey Huff,SF,46,157,569,100,165,35,5,26,86,7,0,83,91,0,7,9,.290,.385,.506,.891
Adam Lind,TOR,40,150,569,57,135,32,3,23,72,0,0,38,144,0,3,3,.237,.287,.425,.712
Pablo Sandoval,SF,37,152,563,61,151,34,3,13,63,3,2,47,81,0,5,1,.268,.323,.409,.732
Adam LaRoche,ARI,43,151,560,75,146,37,2,25,100,0,1,48,172,0,4,3,.261,.320,.468,.788
Corey Hart,MIL,41,145,558,91,158,34,4,31,102,7,6,45,140,0,5,6,.283,.340,.525,.865
Adam Dunn,WAS,43,158,558,85,145,36,2,38,103,0,1,77,199,0,4,9,.260,.356,.536,.892
Daric Barton,OAK,38,159,556,79,152,33,5,10,57,7,3,110,102,12,5,3,.273,.393,.405,.798
Ryan Howard,PHI,43,143,550,87,152,23,5,31,108,1,1,59,157,0,3,8,.276,.353,.505,.858
Paul Konerko,CWS,47,149,548,89,171,30,1,39,111,0,1,72,110,0,6,5,.312,.393,.584,.977
Joey Votto,CIN,40,150,547,106,177,36,2,37,113,16,5,91,125,0,3,7,.324,.424,.600,1.024
Lyle Overbay,TOR,46,154,534,75,130,37,2,20,67,1,0,67,131,0,3,3,.243,.329,.433,.762
Ryan Zimmerman,WAS,38,142,525,85,161,32,0,25,85,4,1,69,98,0,5,4,.307,.388,.510,.898
Ike Davis,NYM,36,147,523,73,138,33,1,19,71,3,2,72,138,0,5,1,.264,.351,.440,.791
Joe Mauer,MIN,40,137,510,88,167,43,1,9,75,1,4,65,53,0,6,3,.327,.402,.469,.871
Mark Reynolds,ARI,40,145,499,79,99,17,2,32,85,7,4,83,211,0,5,9,.198,.320,.433,.753
Carlos Pena,TB,45,144,484,64,95,18,0,28,84,5,1,87,158,0,4,7,.196,.325,.407,.732
Mike Napoli,LAA,41,140,453,60,108,24,1,26,68,4,2,42,137,0,4,11,.238,.316,.468,.784
Derrek Lee,CHC,48,109,418,63,105,21,0,16,56,1,3,52,101,0,3,2,.251,.335,.416,.751
Casey Kotchman,SEA,40,125,414,37,90,20,1,9,51,0,0,35,57,0,5,3,.217,.280,.336,.616
Troy Glaus,ATL,47,128,412,52,99,18,0,16,71,0,0,63,100,0,4,4,.240,.344,.400,.744
Todd Helton,COL,50,118,398,48,102,18,1,8,37,0,0,67,90,0,6,2,.256,.362,.367,.729
Matt LaPorta,CLE,38,110,376,41,83,15,1,12,41,0,0,46,82,0,2,1,.221,.306,.362,.668
John Jaso,TB,40,109,339,57,89,18,3,5,44,4,0,59,39,1,3,2,.263,.372,.378,.750
Lance Berkman,HOU,47,85,298,39,73,16,1,13,49,3,2,60,70,0,0,0,.245,.372,.436,.808
Eric Hinske,ATL,46,131,281,38,72,21,1,11,51,0,0,33,75,0,3,3,.256,.338,.456,.794
Mike Morse,WAS,41,98,266,36,77,12,2,15,41,0,1,22,64,0,1,4,.289,.352,.519,.871
Logan Morrison,FLA,36,62,244,43,69,20,7,2,18,0,1,41,51,0,0,2,.283,.390,.447,.837
Don Kelly,DET,43,119,238,30,58,4,0,9,27,3,0,8,42,1,2,2,.244,.272,.374,.646
Justin Smoak,TEX,36,70,235,29,49,10,0,8,34,1,0,38,57,0,2,0,.209,.316,.353,.669
Russell Branyan,SEA,47,57,205,23,44,10,0,15,33,1,0,30,82,0,1,2,.215,.319,.483,.802
Miguel Cairo,CIN,49,91,200,30,58,12,0,4,28,4,0,17,30,2,3,4,.290,.353,.410,.763
Kendrys Morales,LAA,40,51,193,29,56,5,0,11,39,0,1,12,31,0,1,5,.290,.346,.487,.833
Kila Ka'aihue,KC,39,52,180,22,39,6,1,8,25,0,1,24,39,1,1,0,.217,.307,.394,.701
Russell Branyan,CLE,47,52,171,24,45,9,0,10,24,0,0,16,49,1,1,1,.263,.328,.491,.819
Andy Marte,CLE,39,81,170,18,39,7,2,5,19,0,3,17,35,0,1,0,.229,.298,.382,.680
Greg Dobbs,PHI,45,88,163,13,32,7,0,5,15,1,1,12,39,1,0,0,.196,.251,.331,.582
Kevin Frandsen,LAA,41,54,160,24,40,11,0,0,14,2,0,9,10,3,0,1,.250,.294,.319,.613
Travis Ishikawa,SF,39,116,158,18,42,11,0,3,22,0,0,13,29,1,1,0,.266,.320,.392,.712
Carlos Santana,CLE,37,46,150,23,39,13,0,6,22,3,0,37,29,0,4,1,.260,.401,.467,.868
Jeff Clement,PIT,40,54,144,11,29,3,0,7,12,0,0,6,37,1,1,1,.201,.237,.368,.605
Derrek Lee,ATL,48,39,129,17,37,14,0,3,24,0,0,21,33,0,1,0,.287,.384,.465,.849
Ross Gload,PHI,47,94,128,16,36,8,0,6,22,1,0,8,15,1,0,1,.281,.328,.484,.812
Chris Davis,TEX,37,45,120,7,23,9,0,1,4,3,0,15,40,0,1,0,.192,.279,.292,.571
Justin Smoak,SEA,36,30,113,11,27,4,0,5,14,0,0,8,34,0,1,0,.239,.287,.407,.694
Lance Berkman,NYY,47,37,106,9,27,7,0,1,9,0,0,17,15,0,0,0,.255,.358,.349,.707
Kyle Blanks,SD,37,33,102,14,16,6,1,3,15,1,0,15,46,0,0,3,.157,.283,.324,.607
Chad Tracy,FLA,43,41,102,5,25,6,0,1,10,0,0,6,21,0,1,2,.245,.297,.333,.630
Jake Fox,BAL,41,38,100,10,22,5,1,5,10,0,0,3,23,0,0,2,.220,.257,.440,.697
Mike Sweeney,SEA,50,30,99,11,26,3,0,6,18,2,0,9,14,0,1,1,.263,.327,.475,.802
Jake Fox,OAK,41,39,98,11,21,5,0,2,12,0,0,5,26,0,1,2,.214,.264,.327,.591
Lucas Duda,NYM,37,29,84,11,17,6,0,4,13,0,0,6,22,0,1,1,.202,.261,.417,.678
Matt Downs,SF,39,29,78,6,19,7,0,1,7,0,0,8,18,0,1,1,.244,.318,.372,.690
Chris Carter,OAK,36,24,70,8,13,1,0,3,7,1,0,7,21,0,1,0,.186,.256,.329,.585
Juan Miranda,NYY,40,33,64,7,14,2,1,3,10,0,0,7,12,0,0,0,.219,.296,.422,.718
Hank Blalock,TB,42,26,63,8,16,3,0,1,7,1,1,6,15,0,0,0,.254,.319,.349,.668
Jeff Larish,OAK,40,24,57,5,10,3,0,2,8,1,0,7,20,0,0,1,.175,.277,.333,.610
Mike Hessman,NYM,45,32,55,6,7,2,1,1,6,0,0,8,23,0,0,2,.127,.262,.255,.517
Micah Hoffpauir,CHC,43,24,52,5,9,3,0,0,5,0,0,5,15,0,0,0,.173,.246,.231,.477
Mike Sweeney,PHI,50,26,52,10,12,2,0,2,8,1,0,5,7,0,0,1,.231,.310,.385,.695
Rhyne Hughes,BAL,40,14,47,3,10,2,0,0,4,0,0,4,19,0,0,0,.213,.275,.255,.530
Brandon Allen,ARI,37,22,45,5,12,3,0,1,6,0,0,10,20,0,1,0,.267,.393,.400,.793
Chad Tracy,CHC,43,28,44,6,11,2,0,0,5,0,0,5,15,0,0,0,.250,.327,.295,.622
Mike Carp,SEA,37,14,37,1,7,2,0,0,0,0,0,4,8,0,0,0,.189,.268,.243,.511
Robb Quinlan,LAA,46,23,33,4,4,2,0,0,2,2,0,2,6,1,0,0,.121,.171,.182,.353
