Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Kurt Suzuki,OAK,39,131,495,55,120,18,2,13,71,3,2,33,49,0,4,12,.242,.303,.366,.669
Brian McCann,ATL,39,143,479,63,129,25,0,21,77,5,2,74,98,0,4,9,.269,.375,.453,.828
A.J. Pierzynski,CWS,46,128,474,43,128,29,0,9,56,3,4,15,39,6,2,6,.270,.300,.388,.688
Yadier Molina,STL,41,136,465,34,122,19,0,6,62,8,4,42,51,2,5,7,.262,.329,.342,.671
Matt Wieters,BAL,37,130,446,37,111,22,1,11,55,0,1,47,94,0,7,2,.249,.319,.377,.696
Jason Kendall,KC,49,118,434,39,111,18,0,0,37,12,7,37,45,6,7,6,.256,.318,.297,.615
John Buck,TOR,43,118,409,53,115,25,0,20,66,0,0,16,111,0,6,6,.281,.314,.489,.803
Buster Posey,SF,36,108,406,58,124,23,2,18,67,0,2,30,55,0,3,4,.305,.357,.505,.862
Ivan Rodriguez,WAS,51,111,398,32,106,18,1,4,49,2,3,16,66,2,4,1,.266,.294,.347,.641
Miguel Olivo,COL,45,112,394,55,106,17,6,14,58,7,4,27,117,2,3,1,.269,.315,.449,.764
Jorge Posada,NYY,52,120,383,49,95,23,1,18,57,3,1,59,99,0,2,7,.248,.357,.454,.811
Carlos Ruiz,PHI,44,121,371,43,112,28,1,8,53,0,1,55,54,0,1,6,.302,.400,.447,.847
Russell Martin,LAD,40,97,331,45,82,13,0,5,26,6,2,48,61,1,3,4,.248,.347,.332,.679
Yorvit Torrealba,SD,45,95,325,31,88,14,0,7,37,7,5,33,67,1,1,3,.271,.343,.378,.721
Geovany Soto,CHC,40,105,322,47,90,19,0,17,53,0,1,62,83,0,3,0,.280,.393,.497,.890
Ronny Paulino,FLA,42,91,316,31,82,18,0,4,37,1,0,25,51,0,3,0,.259,.311,.354,.665
Ramon Hernandez,CIN,47,97,313,30,93,18,1,7,48,0,0,29,49,3,2,5,.297,.364,.428,.792
Miguel Montero,ARI,40,85,297,36,79,20,2,9,43,0,1,29,71,0,3,2,.266,.332,.438,.770
Alex Avila,DET,36,104,294,28,67,12,0,7,31,2,2,36,71,1,0,2,.228,.316,.340,.656
Jonathan Lucroy,MIL,37,75,277,24,70,9,0,4,26,4,2,18,44,0,1,1,.253,.300,.329,.629
Nick Hundley,SD,40,85,273,33,68,18,2,8,43,0,5,25,66,2,6,1,.249,.308,.418,.726
Gerald Laird,DET,43,89,270,22,56,11,0,5,25,3,1,18,57,6,2,3,.207,.263,.304,.567
Francisco Cervelli,NYY,37,93,266,27,72,11,3,0,38,1,1,33,42,8,4,6,.271,.359,.335,.694
Humberto Quintero,HOU,44,88,265,13,62,10,0,4,20,0,0,8,59,1,0,2,.234,.262,.317,.579
Lou Marson,CLE,37,87,262,29,51,15,0,3,22,8,1,26,55,2,1,3,.195,.274,.286,.560
Rod Barajas,NYM,48,74,249,30,56,11,0,12,34,0,0,8,39,1,3,6,.225,.263,.414,.677
Matt Treanor,TEX,47,82,237,22,50,6,1,5,27,1,2,22,43,4,4,5,.211,.287,.308,.595
Koyie Hill,CHC,44,77,215,18,46,13,1,1,17,1,0,12,61,3,1,0,.214,.254,.298,.552
George Kottaras,MIL,40,67,212,24,43,12,1,9,26,2,0,33,44,1,4,0,.203,.305,.396,.701
Adam Moore,SEA,39,60,205,12,40,6,0,4,15,0,1,8,63,1,2,2,.195,.230,.283,.513
