Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Rickie Weeks,MIL,41,160,651,112,175,32,4,29,83,11,4,76,184,0,2,25,.269,.366,.464,.830
Howie Kendrick,LAA,40,158,616,67,172,41,4,10,75,14,4,28,94,4,5,5,.279,.313,.407,.720
Matt Kemp,LAD,38,162,602,82,150,25,6,28,89,19,15,53,170,0,9,4,.249,.310,.450,.760
Vladimir Guerrero,TEX,48,152,593,83,178,27,1,29,115,4,5,35,60,0,6,9,.300,.345,.496,.841
Prince Fielder,MIL,39,161,578,94,151,25,0,32,83,1,0,114,138,0,1,21,.261,.401,.471,.872
Miguel Cabrera,DET,40,150,548,111,180,45,1,38,126,3,3,89,95,0,8,3,.328,.420,.622,1.042
Hanley Ramirez,FLA,39,142,543,92,163,28,2,21,76,32,10,64,93,0,5,7,.300,.378,.475,.853
Alex Rodriguez,NYY,48,137,522,74,141,29,2,30,125,4,3,59,98,0,11,3,.270,.341,.506,.847
David Ortiz,BOS,47,145,518,86,140,36,1,32,102,0,1,82,145,0,4,2,.270,.370,.529,.899
Victor Martinez,BOS,44,127,493,64,149,32,1,20,79,1,0,40,52,0,5,0,.302,.351,.493,.844
Luke Scott,BAL,45,131,447,70,127,29,1,27,72,2,0,59,98,0,7,4,.284,.368,.535,.903
Nelson Cruz,TEX,43,108,399,60,127,31,3,22,78,17,4,38,81,1,6,1,.318,.374,.576,.950
Travis Hafner,CLE,46,118,396,46,110,29,0,13,50,2,1,51,94,0,3,12,.278,.374,.449,.823
Pedro Alvarez,PIT,36,95,347,42,89,21,1,16,64,0,0,37,119,0,2,0,.256,.326,.461,.787
Edwin Encarnacion,TOR,40,96,332,47,81,16,0,21,51,1,0,29,60,0,4,2,.244,.305,.482,.787
Justin Morneau,MIN,42,81,296,53,102,25,1,18,56,0,0,50,62,0,2,0,.345,.437,.618,1.055
Jim Thome,MIN,53,108,276,48,78,16,2,25,59,0,0,60,82,0,2,2,.283,.412,.627,1.039
Willy Aybar,TB,40,100,270,22,62,13,0,6,43,0,0,30,61,2,4,3,.230,.309,.344,.653
Manny Ramirez,LAD,51,66,196,32,61,15,0,8,40,1,1,32,38,0,3,1,.311,.405,.510,.915
Jason Giambi,COL,52,87,176,17,43,9,0,6,35,2,0,35,47,0,5,6,.244,.378,.398,.776
Mitch Moreland,TEX,38,47,145,20,37,4,0,9,25,3,1,25,36,0,2,1,.255,.364,.469,.833
Ken Griffey,SEA,53,33,98,6,18,2,0,0,7,0,0,9,17,0,1,0,.184,.250,.204,.454
Nick Johnson,NYY,45,24,72,12,12,4,0,2,8,0,1,24,23,0,0,2,.167,.388,.306,.694
Manny Ramirez,CWS,51,24,69,6,18,1,0,1,2,0,0,14,23,0,0,5,.261,.420,.319,.739
Randy Ruiz,TOR,45,13,40,3,6,2,0,1,1,1,0,0,11,0,0,0,.150,.150,.275,.425
Brandon Moss,PIT,40,17,26,2,4,1,0,0,2,0,0,1,6,0,0,0,.154,.185,.192,.377
Mark Trumbo,LAA,37,8,15,2,1,0,0,0,2,0,0,1,8,0,0,0,.067,.125,.067,.192
