Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Ichiro Suzuki,SEA,49,162,680,74,214,30,3,6,43,42,9,45,86,3,1,3,.315,.359,.394,.753
Juan Pierre,CWS,46,160,651,96,179,18,3,1,47,68,18,45,47,15,2,21,.275,.341,.316,.657
Nick Markakis,BAL,39,160,629,79,187,45,3,12,60,7,2,73,93,0,5,2,.297,.370,.436,.806
Denard Span,MIN,39,153,629,85,166,24,10,3,58,26,4,60,74,10,2,4,.264,.331,.348,.679
Ryan Braun,MIL,39,157,619,101,188,45,1,25,103,14,3,56,105,0,3,6,.304,.365,.501,.866
Austin Jackson,DET,36,151,618,103,181,34,10,4,41,27,6,47,170,3,3,4,.293,.345,.400,.745
Hunter Pence,HOU,40,156,614,93,173,29,3,25,91,18,9,41,105,0,3,0,.282,.325,.461,.786
Michael Cuddyer,MIN,44,157,609,93,165,37,5,14,81,7,3,58,93,0,4,4,.271,.336,.417,.753
Chone Figgins,SEA,45,161,602,62,156,21,2,1,35,42,15,74,114,17,6,3,.259,.340,.306,.646
Carl Crawford,TB,42,154,600,110,184,30,13,19,90,47,10,46,104,3,5,3,.307,.356,.495,.851
Matt Holliday,STL,43,158,596,95,186,45,1,28,103,9,5,69,93,0,2,8,.312,.390,.532,.922
Vernon Wells,TOR,44,157,590,79,161,44,3,31,88,6,4,50,84,0,3,3,.273,.331,.515,.846
Shane Victorino,PHI,42,147,587,84,152,26,10,18,69,34,6,53,79,0,1,7,.259,.327,.429,.756
Carlos Gonzalez,COL,37,145,587,111,197,34,9,34,117,26,8,40,135,0,7,2,.336,.376,.598,.974
Chris Young,ARI,40,156,584,94,150,33,0,27,91,28,7,74,145,1,3,2,.257,.341,.452,.793
Adam Jones,BAL,38,149,581,76,165,25,5,19,69,7,7,23,119,2,2,13,.284,.325,.442,.767
Marlon Byrd,CHC,46,152,580,84,170,39,2,12,66,5,1,31,98,0,2,17,.293,.346,.429,.775
Angel Pagan,NYM,42,151,579,80,168,31,7,11,69,37,9,44,97,6,3,1,.290,.340,.425,.765
Bobby Abreu,LAA,49,154,573,88,146,41,1,20,78,24,10,87,132,0,5,2,.255,.352,.435,.787
Torii Hunter,LAA,48,152,573,76,161,36,0,23,90,9,12,61,106,0,5,7,.281,.354,.464,.818
Andrew McCutchen,PIT,36,154,570,94,163,35,5,16,56,33,10,70,89,1,7,5,.286,.365,.449,.814
Franklin Gutierrez,SEA,40,152,568,61,139,25,3,12,64,25,3,50,137,2,8,1,.245,.303,.363,.666
Alex Rios,CWS,42,147,567,89,161,29,3,21,88,34,14,38,93,0,5,7,.284,.334,.457,.791
Nick Swisher,NYY,42,150,566,91,163,33,3,29,89,1,2,58,139,3,2,6,.288,.359,.511,.870
Raul Ibanez,PHI,51,155,561,75,154,37,5,16,83,4,3,68,108,0,7,0,.275,.349,.444,.793
Jayson Werth,PHI,44,156,554,106,164,46,2,27,85,13,3,82,147,0,9,7,.296,.388,.532,.920
Shin-Soo Choo,CLE,41,144,550,81,165,31,2,22,90,22,7,83,118,0,2,11,.300,.401,.484,.885
Johnny Damon,DET,49,145,539,81,146,36,5,8,51,11,1,69,90,2,1,2,.271,.355,.401,.756
B.J. Upton,TB,39,154,536,89,127,38,4,18,62,42,9,67,164,1,4,2,.237,.322,.424,.746
Michael Bourn,HOU,40,141,535,84,142,25,6,2,38,52,12,59,109,6,2,3,.265,.341,.346,.687
Rajai Davis,OAK,42,143,525,66,149,28,3,5,52,50,11,26,78,1,5,4,.284,.320,.377,.697
Ian Desmond,WAS,38,154,525,59,141,27,4,10,65,17,5,28,109,9,7,5,.269,.308,.392,.700
Jason Heyward,ATL,34,142,520,83,144,29,5,18,72,11,6,91,128,0,2,10,.277,.393,.456,.849
Jason Kubel,MIN,41,143,518,68,129,23,3,21,92,0,1,56,116,0,5,3,.249,.323,.427,.750
Josh Hamilton,TEX,42,133,518,95,186,40,3,32,100,8,1,43,95,1,4,5,.359,.411,.633,1.044
Andre Ethier,LAD,41,139,517,71,151,33,1,23,82,2,1,59,102,0,6,3,.292,.364,.493,.857
Drew Stubbs,CIN,38,150,514,91,131,19,6,22,77,30,6,55,168,3,6,5,.255,.329,.444,.773
Jonny Gomes,CIN,42,148,511,77,136,24,3,18,86,5,3,39,123,0,9,12,.266,.327,.431,.758
Jay Bruce,CIN,36,148,509,80,143,23,5,25,70,5,4,58,136,0,5,1,.281,.353,.493,.846
